Day,Venue,0900-0930,0930-1000,1000-1030,1030-1100,1100-1130,1130-1200,1200-1230,1230-1300,1400-1430,1430-1500,1500-1530,1530-1600,1600-1630,1630-1700,1700-1730
Monday,VR,,,P16,P62,P66,P27,P51,,,,,,P79,,
,MR,P107,P4,,P90,P92,P57,P2,,P59,P37,P30,P24,P1,,
,IR,,P5,P106,P111,,P95,,,,,,,,P47,
,BJIM,P117,,,,P68,P52,P102,,P108,P38,P17,P46,,,
Tuesday,VR,P101,,,P9,P78,P41,,,P13,P49,P21,,,,
,MR,,P98,P25,P50,P81,,P88,,P35,,P33,,,,
,IR,,,,,,,,,,,,,,,
,BJIM,P26,P109,,P70,P85,,P11,,,,P83,P80,,P112,
Wednesday,VR,,,,,,,,,,,P115,,,,
,MR,,P67,,P7,P91,,P10,,,,,,,,
,IR,,,,,,P60,,,,,,,,,
,BJIM,P6,P65,,,,,,,,,,,P36,,
Thursday,VR,,P14,P69,P48,P15,P19,P34,,P29,,P86,,,P71,
,MR,P96,P116,P93,P105,,P97,P54,,P104,P42,P64,P23,P63,P44,
,IR,,,,,P77,,,,,,,,,P100,
,BJIM,P45,P56,P110,P53,P72,P113,,,P75,,,P84,P82,,
Friday,VR,,P32,P76,P20,P55,,P3,,,,P28,,P31,,
,MR,P74,P94,P12,P114,P8,P43,P22,,,,P61,P87,P40,P103,
,IR,,,,P89,,,,,,,P99,,P39,,
,BJIM,P58,P73,,P118,,,,,,,,,P18,,
